version,006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,Linear Perturbation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,"Reformatted linear perturbation database. ONLY the FB-OB transformation is perturbed. The perturbation is linear, and motion only in X. Magnitude of the perturbation is 10mm over 2500 time steps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step,type,Inertial-SC,,,,SC-FB,,,,FB-FPM0,,,,FB-FPM1,,,,FB-MD0,,,,FB-MD1,,,,FB-AS0,,,,FB-AS1,,,,FB-OB,,,,OB-OM0,,,,OB-OM1,,,,OB-ML0,,,,OB-ML1,,,,OB-ST,,,
0,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
0,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
1,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.004,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
1,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
2,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.008,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
2,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
3,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.012,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
3,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
4,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.016,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
4,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
5,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.02,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
5,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
6,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.024,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
6,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
7,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0.028,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
7,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
