version,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,Ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,"Reformatted ideal (static) orientations and alignments of the components. This is where the components start out on orbit, and could be different from the values measured on ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
step,type,Inertial-SC,,,,SC-FB,,,,FB-FPM0,,,,FB-FPM1,,,,FB-MD0,,,,FB-MD1,,,,FB-AS0,,,,FB-AS1,,,,FB-OB,,,,OB-OM0,,,,OB-OM1,,,,OB-ML0,,,,OB-ML1,,,,OB-ST,,,
0,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.34483284,189.43882,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
       0,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00030938946,  -3.2742989e-05,   0.00041098988,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
1,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.35903873,189.45249,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
       1,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00030809593,  -3.4083957e-05,   0.00040398951,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
2,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.37434323,189.46679,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
       2,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00030674318,  -3.5529139e-05,   0.00039798912,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
3,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.39184501,189.48124,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
       3,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00030537594,  -3.7182005e-05,   0.00039148868,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
4,v,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1254.942,,257.1750026,411.1892622,1254.942.3,,-0.41004869,189.49571,10560.949,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,
       4,q,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,   0.00030400722,  -3.8901582e-05,   0.00038598819,      0.99999989,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239
