# Response Matrix 1
Version 1

NM NuSIM shield response

CE true
Type ResponseMatrixO1
R1 5 11.7052
R1 5.74077 12.0339
R1 6.59128 13.8696
R1 7.56781 14.529
R1 8.689 17.0187
R1 9.97631 20.3665
R1 11.4543 23.2163
R1 13.1513 29.7487
R1 15.0998 48.1982
R1 17.3368 81.5066
R1 19.9054 135.403
R1 22.8544 202.623
R1 26.2404 262.649
R1 30.128 337.968
R1 34.5915 287.468
R1 39.7164 269.83
R1 45.6005 263.206
R1 52.3564 262.153
R1 60.1132 250.814
R1 69.0192 228.751
R1 79.2447 220.91
R1 90.985 207.199
R1 104.465 197.008
R1 119.942 188.483
R1 137.711 176.849
R1 158.114 170.773
R1 181.539 161.812
R1 208.435 142.097
R1 239.315 120.476
R1 274.77 105.602
R1 315.479 86.6827
R1 362.218 79.4208
R1 415.882 70.0266
R1 477.496 101.368
R1 548.239 49.3116
R1 629.463 49.3644
R1 722.72 41.2238
R1 829.793 39.482
R1 952.73 38.0117
R1 1093.88 36.3326
R1 1255.94 36.6138
R1 1442.02 35.3137
R1 1655.66 35.6859
R1 1900.95 34.8976
R1 2182.58 35.4337
R1 2505.94 35.6986
R1 2877.2 35.6285
R1 3303.47 36.0825
R1 3792.89 36.7467
R1 4354.82 37.6942
R1 5000 39.476
R1 5740.77 41.3505
R1 6591.28 41.5684
R1 7567.8 41.7505
R1 8689 40.6299
R1 9976.31 37.9553
R1 11454.3 34.0265
R1 13151.3 29.8781
R1 15099.8 25.7186
R1 17336.8 21.8732
R1 19905.4 18.4858
R1 22854.4 15.5826
R1 26240.4 13.0751
R1 30128 11.0258
R1 34591.5 9.28811
R1 39716.4 7.88058
R1 45600.5 6.74266
R1 52356.4 5.80105
R1 60113.2 4.93539
R1 69019.2 4.12453
R1 79244.7 3.46105
R1 90985 2.89058
R1 104465 2.395
R1 119942 1.99729
R1 137711 1.70224
R1 158114 1.44661
R1 181539 1.24005
R1 208435 0.972421
R1 239315 0.6865
R1 274770 0.422737
R1 315479 0.234474
R1 362218 0.147211
R1 415882 0.110789
R1 477496 0.0903684
R1 548239 0.0743421
R1 629463 0.0559474
R1 722720 0.0380263
R1 829793 0.0235263
R1 952730 0.0139474
R1 1.09388e+06 0.00734211
R1 1.25594e+06 0.00434211
R1 1.44201e+06 0.00242105
R1 1.65566e+06 0.00115789
R1 1.90095e+06 0.000684211
R1 2.18258e+06 0.000368421
R1 2.50594e+06 0.000105263
R1 2.8772e+06 2.63158e-05
R1 3.30347e+06 0
R1 3.79289e+06 0
R1 4.35482e+06 0
