# Response Matrix 1
Version 1

NM NuSIM shield response

CE true
Type ResponseMatrixO1
R1 5 7.78741
R1 5.74077 9.49782
R1 6.59128 10.9358
R1 7.56781 11.3828
R1 8.689 13.3343
R1 9.97631 15.6336
R1 11.4543 18.201
R1 13.1513 23.5289
R1 15.0998 38.8288
R1 17.3368 67.5594
R1 19.9054 112.745
R1 22.8544 167.772
R1 26.2404 167.772
R1 30.128 167.772
R1 34.5915 167.772
R1 39.7164 167.772
R1 45.6005 167.772
R1 52.3564 167.772
R1 60.1132 167.772
R1 69.0192 160.286
R1 79.2447 145.66
R1 90.985 131.178
R1 104.465 117.8
R1 119.942 105.773
R1 137.711 93.8726
R1 158.114 83.4568
R1 181.539 73.759
R1 208.435 61.8875
R1 239.315 51.1494
R1 274.77 42.6579
R1 315.479 34.7092
R1 362.218 29.5723
R1 415.882 25.3715
R1 477.496 34.5272
R1 548.239 17.4392
R1 629.463 16.6372
R1 722.72 14.1732
R1 829.793 13.3193
R1 952.73 12.7062
R1 1093.88 12.1643
R1 1255.94 12.1021
R1 1442.02 11.8699
R1 1655.66 11.9066
R1 1900.95 11.7848
R1 2182.58 11.9963
R1 2505.94 12.2052
R1 2877.2 12.3926
R1 3303.47 12.6301
R1 3792.89 12.8995
R1 4354.82 13.2508
R1 5000 13.8731
R1 5740.77 14.562
R1 6591.28 14.8673
R1 7567.81 15.0346
R1 8689 14.6908
R1 9976.31 13.7361
R1 11454.3 12.3285
R1 13151.3 10.8829
R1 15099.8 9.40953
R1 17336.8 8.04539
R1 19905.4 6.8546
R1 22854.4 5.80882
R1 26240.4 4.89421
R1 30128 4.12894
R1 34591.5 3.47299
R1 39716.4 2.93565
R1 45600.5 2.49739
R1 52356.4 2.12687
R1 60113.2 1.77439
R1 69019.2 1.44337
R1 79244.6 1.17579
R1 90985 0.9334
R1 104465 0.72649
R1 119942 0.56404
R1 137711 0.45291
R1 158114 0.36883
R1 181539 0.30832
R1 208435 0.242
R1 239315 0.17546
R1 274770 0.11773
R1 315479 0.0751
R1 362218 0.05419
R1 415882 0.0433
R1 477496 0.03593
R1 548239 0.02948
R1 629463 0.02307
R1 722720 0.01594
R1 829793 0.01041
R1 952730 0.0061
R1 1.09388e+06 0.00331
R1 1.25594e+06 0.00208
R1 1.44202e+06 0.00101
R1 1.65566e+06 0.00049
R1 1.90095e+06 0.00031
R1 2.18258e+06 0.00018
R1 2.50594e+06 7e-05
R1 2.8772e+06 1e-05
R1 3.30347e+06 1e-05
R1 3.79289e+06 0
R1 4.35482e+06 0
