,005,I,,"The ideal (static) orientations and alignments of the components. This is where the components start out on orbit, and could be different from the measured on ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Inertial-SC,,,,SC-FB,,,,FB-FPM0,,,,FB-FPM1,,,,FB-MD0,,,,FB-MD1,,,,FB-AS0,,,,FB-AS1,,,,FB-OB,,,,OB-OM0,,,,OB-OM1,,,,OB-ML0,,,,OB-ML1,,,,OB-ST,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cal xyz1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,1,,0,0,-1,,0,0,-1,,,,,,
,,,,cal xyz2,,,,,,,,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,,,,,,,,,0,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,,,,,
,,,,cal quat2,,,,,,,,,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,,,,,,,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239,
,,,,stdev component,,,,,,,,,,,,,,,,,0.024748737,mm,,,0.024748737,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010588195,arcmin,,,
,,,,stdevs xyz,,,,,,,,,0.0177,0.0177,0,,0.0177,0.0177,0,,0.0236,0.0236,0,,0.0236,0.0236,0,,0.41,0.41,0,,0.41,0.41,0,,0.45,0.45,1.9,,0.005,0.005,1,,0.005,0.005,1,,0.07,0.07,0,,0.07,0.07,0,,0,0,0,,
,,,,stdevs DCM,,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,44.3,44.3,44.3,,22,22,0,,22,22,0,,12,12,0,,12,12,0,,5,5,0,,
0,v,,,,0,0,0,,0,-539.04,327.91,,-250.8249974,411.1892622,421.75498,,257.1750026,411.1892622,421.75498,,402.63064,691.7477464,302.72834,,-396.28064,691.7477464,302.72834,,-250.8249974,411.1892622,1022.3,,257.1750026,411.1892622,1022.3,,0,192.71,10560.95,,-250.825,218.4792524,11.61130798,,257.175,218.4792524,11.61130798,,432.9902996,523.9263797,102.8997081,,-426.6402996,523.9263797,102.8997081,,3.175,428.0292524,262.3520879,,
0,q,,,,0,0,0,1,0,0,0,1,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0.7071,-0.7071,0,0,0.7071,-0.7071,0,0,0.866,0.5,0,0,0.866,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.4278,0.9039,0,0,0.4278,0.9039,0,0,-0.3827,0.9239,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
