X [mm],Y [mm],dx [mm],dy [mm]
9.1663707520,9.6056099208,-0.2351279906,-0.4483751937
8.1828416887,9.5986471029,-0.0731232432,-0.4143564285
7.1993126254,9.5916842849,-0.0766391031,-0.4170323755
6.2157835621,9.5847214669,-0.0735945826,-0.4083958342
5.2322544988,9.5777586489,-0.0637096678,-0.4001843906
4.2487254355,9.5707958310,-0.0655967494,-0.3934785908
3.2651963722,9.5638330130,-0.0710215274,-0.3810400595
2.2816673089,9.5568701950,-0.0541379544,-0.3728557523
1.2981382456,9.5499073770,-0.0383907259,-0.3674256252
0.3146091823,9.5429445591,-0.0441027268,-0.3507095023
-0.6689198809,9.5359817411,-0.0222676604,-0.3404419849
-1.6524489442,9.5290189231,-0.0167734501,-0.3240150285
-2.6359780075,9.5220561051,-0.0023305955,-0.3128380390
-3.6195070708,9.5150932871,0.0148369447,-0.2752880786
-4.6030361341,9.5081304692,0.0247837966,-0.2509671625
-5.5865651974,9.5011676512,0.0533205346,-0.2205566679
-6.5700942607,9.4942048332,0.0644035912,-0.2048053798
-7.5536233240,9.4872420152,0.1325050249,-0.1544382252
-8.5371523873,9.4802791973,0.2127456477,-0.0899655913
-9.5206814506,9.4733163793,0.2993212041,-0.0638755593
9.2051636635,8.6259173006,-0.1851706725,-0.1304286317
-0.2600201210,-1.2430821265,0.0000000000,0.0000000000
8.2216346002,8.6189544826,-0.0489831676,-0.1297421813
7.2381055369,8.6119916647,-0.0419793464,-0.1095534476
6.2545764736,8.6050288467,-0.0438784541,-0.1043673765
5.2710474103,8.5980660287,-0.0299823323,-0.0953189567
4.2875183470,8.5911032107,-0.0367183425,-0.1038998612
3.3039892837,8.5841403928,-0.0530073887,-0.1114026124
2.3204602204,8.5771775748,-0.0299327136,-0.0976141339
1.3369311571,8.5702147568,-0.0357362664,-0.1074894460
0.3534020938,8.5632519388,-0.0427570143,-0.0889480283
-0.6301269695,8.5562891209,-0.0289541292,-0.0939179015
-1.6136560328,8.5493263029,-0.0203905869,-0.0920234979
-2.5971850961,8.5423634849,-0.0113617416,-0.0812776027
-3.5807141594,8.5354006669,-0.0023424959,-0.0574234337
-4.5642432227,8.5284378490,0.0153660700,-0.0614338232
-5.5477722860,8.5214750310,0.0330018617,-0.0276939485
-6.5313013493,8.5145122130,0.0377057593,-0.0320168340
-7.5148304126,8.5075493950,0.0860932011,0.0081757794
-8.4983594759,8.5005865771,0.1522588091,0.0529881864
-9.4818885392,8.4936237591,0.2687476239,0.0211632401
9.2439565749,7.6462246804,-0.1874676009,-0.1160662722
8.2604275116,7.6392618624,-0.0441333065,-0.0830048116
7.2768984483,7.6322990444,-0.0187399922,-0.0679061592
6.2933693850,7.6253362265,-0.0148893954,-0.0461273817
5.3098403217,7.6183734085,-0.0241298634,-0.0339414927
4.3263112584,7.6114105905,-0.0196807486,-0.0344207247
3.3427821951,7.6044477725,-0.0388472535,-0.0228383103
2.3592531318,7.5974849546,-0.0180014736,-0.0260834973
1.3757240685,7.5905221366,-0.0273709468,-0.0287362842
0.3921950052,7.5835593186,-0.0277967620,-0.0243360503
-0.5913340581,7.5765965006,0.0000087405,-0.0118338086
-1.5748631214,7.5696336827,-0.0085019011,-0.0233129380
-2.5583921847,7.5626708647,0.0078231152,-0.0208219673
-3.5419212480,7.5557080467,0.0091268050,-0.0103354653
-4.5254503113,7.5487452287,0.0054609226,0.0012546025
-5.5089793746,7.5417824108,0.0218649125,0.0102200024
-6.4925084379,7.5348195928,0.0340476817,0.0124460601
-7.4760375012,7.5278567748,0.0720440513,0.0482493150
-8.4595665645,7.5208939568,0.1493675374,0.0730463745
-9.4430956278,7.5139311389,0.2540559486,0.0488713181
