
[PMH2004]|RAJ2000|DEJ2000|CFlux|Class
 |"h:m:s"|"d:m:s"|mW/m2|
---|-----------|-----------|---------|--------------------
  4|01 31 55.12|+30 28 56.9| 7.72e-15|<hard>
  5|01 31 59.18|+30 35 06.9| 6.96e-15|
  6|01 31 59.52|+30 17 46.0| 1.17e-14|<hard>
  7|01 31 59.81|+30 13 40.4| 1.13e-14|
  8|01 32 02.88|+30 38 48.7| 9.30e-15|<hard>
  9|01 32 03.74|+30 34 43.2| 4.92e-15|<hard>
 10|01 32 06.62|+30 49 08.9| 3.42e-14|
 11|01 32 10.51|+30 44 16.5| 1.43e-14|<hard>
 12|01 32 11.37|+30 14 18.7| 2.46e-14|<hard>
 13|01 32 12.90|+30 20 30.5| 9.51e-15|<hard>
 14|01 32 13.32|+30 12 38.7| 5.21e-14|<hard>
 15|01 32 14.51|+30 43 28.2| 9.10e-15|<hard>
 16|01 32 14.69|+30 18 24.9| 1.26e-14|<hard>
 17|01 32 15.24|+30 16 54.6| 1.49e-14|<hard>
 19|01 32 15.52|+30 41 12.5| 3.93e-15|<hard>
 21|01 32 17.54|+30 25 56.3| 1.68e-14|<hard>
 22|01 32 17.67|+30 19 36.0| 9.97e-15|<hard>
 23|01 32 18.27|+30 30 08.4| 4.44e-15|<hard>
 24|01 32 19.74|+30 36 39.6| 3.24e-15|<hard>
 25|01 32 20.66|+30 40 33.7| 5.08e-15|<hard>
 26|01 32 20.92|+30 44 57.9| 9.02e-15|
 29|01 32 24.36|+30 51 50.9| 8.15e-15|<hard>
 30|01 32 24.46|+30 33 23.3| 5.46e-15|
 31|01 32 24.73|+30 45 09.7| 6.11e-15|<hard>
 32|01 32 27.38|+30 54 38.2| 9.34e-15|<hard>
 33|01 32 27.81|+30 52 17.8| 7.18e-15|<hard>
 34|01 32 27.95|+30 21 20.8| 2.77e-15|<hard>
 35|01 32 28.83|+30 45 13.9| 9.24e-15|
 36|01 32 28.90|+30 26 59.6| 4.86e-15|<hard>
 37|01 32 29.07|+30 36 17.1| 9.66e-15|<hard>
 38|01 32 30.19|+30 30 07.0| 1.67e-15|<hard>
 40|01 32 30.43|+30 18 25.1| 4.58e-15|<hard>
 41|01 32 30.61|+30 32 09.7| 4.29e-15|<hard>
 43|01 32 32.42|+30 32 27.9| 3.63e-14|<hard>
 44|01 32 32.58|+30 26 22.7| 2.51e-15|<hard>
 45|01 32 33.38|+30 52 33.7| 7.52e-15|<hard>
 47|01 32 36.75|+30 32 28.8| 7.40e-14|<hard>
 48|01 32 36.82|+30 50 03.7| 1.95e-14|<hard>
 49|01 32 36.94|+30 13 54.2| 3.39e-15|<hard>
 50|01 32 37.12|+30 25 16.6| 2.77e-15|<hard>
 51|01 32 37.20|+30 18 06.3| 1.37e-14|<hard>
 53|01 32 38.19|+30 09 52.9| 1.27e-14|<hard>
 55|01 32 39.44|+30 21 26.3| 4.31e-15|<hard>
 56|01 32 40.64|+30 35 51.1| 3.71e-15|<hard>
 57|01 32 40.64|+30 12 07.7| 7.77e-15|<hard>
 58|01 32 42.49|+30 48 15.8| 4.25e-15|<hard>
 59|01 32 42.65|+30 25 20.4| 3.25e-15|<hard>
 60|01 32 43.34|+30 35 06.2| 1.41e-14|<hard>
 61|01 32 44.04|+30 24 50.9| 4.77e-15|
 62|01 32 44.38|+30 16 01.6| 4.06e-15|<hard>
 63|01 32 44.49|+30 23 30.2| 2.57e-14|<hard>
 64|01 32 44.97|+30 39 12.0| 3.79e-15|<hard>
 65|01 32 45.13|+30 20 05.6| 1.06e-14|<hard>
 66|01 32 45.37|+30 58 01.9| 2.39e-14|<hard>
 67|01 32 45.75|+30 20 28.7| 7.95e-15|<hard>
 69|01 32 47.62|+30 44 18.1| 3.65e-15|<hard>
 70|01 32 49.25|+30 38 30.1| 3.98e-15|<hard>
 71|01 32 49.79|+30 50 19.0| 2.90e-15|<hard>
 72|01 32 50.55|+30 31 42.9| 4.51e-15|<hard>
 73|01 32 50.65|+30 30 35.7| 9.64e-15|<hard>
 74|01 32 50.91|+30 21 05.6| 3.13e-15|<hard>
 75|01 32 50.93|+30 58 13.0| 5.94e-15|
 76|01 32 51.17|+30 15 24.6| 9.93e-15|<hard>
 78|01 32 51.79|+30 25 13.0| 2.64e-15|<hard>
 79|01 32 51.92|+30 25 32.7| 6.82e-15|<hard>
 80|01 32 52.25|+30 40 25.7| 2.38e-15|<hard>
 81|01 32 52.46|+30 17 21.6| 4.74e-15|<hard>
 82|01 32 52.56|+30 26 31.4| 7.74e-15|<hard>
 83|01 32 53.47|+30 38 15.0| 1.32e-13|<hard>
 84|01 32 53.79|+30 50 18.5| 4.72e-15|<hard>
 85|01 32 53.82|+30 33 12.1| 1.14e-13|<hard>
 86|01 32 53.91|+30 21 34.5| 2.02e-15|<hard>
 87|01 32 55.14|+30 42 16.2| 4.56e-15|<hard>
 88|01 32 55.28|+30 24 20.9| 5.35e-15|<hard>
 89|01 32 55.69|+30 34 20.5| 2.14e-15|
 90|01 32 56.23|+30 55 45.2| 3.82e-15|
 91|01 32 56.64|+30 26 34.0| 9.34e-15|<hard>
 94|01 32 57.87|+30 25 01.1| 3.31e-15|<hard>
 95|01 32 58.22|+30 30 57.7| 2.02e-15|
 96|01 32 59.46|+30 53 25.1| 6.07e-15|<hard>
 97|01 32 59.93|+30 21 04.1| 6.78e-14|<hard>
 99|01 33 00.53|+30 34 26.1| 1.74e-15|<hard>
100|01 33 00.94|+30 40 43.4| 2.79e-14|<hard>
102|01 33 01.81|+30 31 58.3| 3.05e-14|<hard>
103|01 33 03.12|+30 11 31.7| 2.35e-14|<hard>
104|01 33 03.61|+30 39 04.3| 1.42e-14|<hard>
